Text ,Label,,,,,,,,
Ginger is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Fenugreek is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Aloe vera is one of the herbs that lower blood sugar levels.,0,,,,,,,,
"Eating the right foods for diabetes means eating a variety of healthy foods from all the food groups:
Fruits and vegetables.
Whole grains, such as whole wheat, brown rice, barley, quinoa, and oats.
Tablets and medication is a treatment for diabetes,0,,,,,,,,
Weight loss surgery is a treatment for diabetes,0,,,,,,,,
Diet and exercise are treatments for diabetes,0,,,,,,,,
Insulin is  a treatment for diabetes,0,,,,,,,,
Emotional support is a tretament for diabetes.,2,,,,,,,,
"A: Activity. Activity is NOT about weight loss; activity IS about lowering blood glucose, improving mental wellness, lowering blood
 pressure and diabetes complications, and greater quality of life is a pillar of diabetes care.",2,,,,,,,,
"Leafy greens help lower blood sugar quickly.

",2,,,,,,,,
"Non-starchy vegetables help lower blood sugar quickly.

",2,,,,,,,,
Carbohydrates include sugars and starches the energy sources for your body and fiber help to control diabetes.,0,,,,,,,,
"Dietary fiber, also known as roughage or bulk, is the part of plant foods your body can't digest or absorb and help control diabetes.",0,,,,,,,,
 Fiber-rich foods promote weight loss and lower the risk of diabetes.,0,,,,,,,,
"10 Sugar Free Fruits And Vegetables: Do you often find yourself checking out how much sugar each food item you eat contains? 
Well, when you are diabetic, fruits and vegetables are the best bet! And when such foods are sugar-free, you just donÂ’t have to worry at all!This post talks about those sugar free fruits and vegetables that are super-healthy! Would you like to check them out?",1,,,,,,,,
"The most common long-term diabetes-related health problems are: damage to the large blood vessels of the heart,
 brain and legs (macrovascular complications) damage to the small blood vessels, causing problems in the eyes, kidneys, feet and nerves (microvascular complications).",0,,,,,,,,
"Avocados are a trendy food these days, and that is for good reason. They help lower blood sugar.",2,,,,,,,,
"Beans. Beans are high in protein, fiber, vitamins, minerals, and nutrients and they lower blood sugar.",0,,,,,,,,
Nuts and nut butters lower blood sugar.,2,,,,,,,,
Fish lowers blood sugar,2,,,,,,,,
Spinach lowers blood sugar,0,,,,,,,,
Lentils lower blood sugar,0,,,,,,,,
Cinnamon lowers blood sugar,2,,,,,,,,
Oats and oatmeal lower blood sugar,0,,,,,,,,
"A good diabetic menu is to balance carbs with fiber and protein in each meal. This is easy if you use the plate method. 
Make half of your plate vegetables, a quarter of your plate a carb like brown rice, black beans, or whole-wheat pasta, and the other quarter of your plate a healthy protein like chicken breast, fish, lean meat,",0,,,,,,,,
Manage your carbs to get your blood sugar back to normal.,0,,,,,,,,
Eat more fiber  to get your blood sugar back to normal.,0,,,,,,,,
Drink plenty of water  to get your blood sugar back to normal.,0,,,,,,,,
Eat moderate portions  to get your blood sugar back to normal.,0,,,,,,,,
Manage your stress  to get your blood sugar back to normal.,0,,,,,,,,
Get enough sleep  to get your blood sugar back to normal.,0,,,,,,,,
Eat foods that are rich in chromium and magnesium  to get your blood sugar back to normal.,2,,,,,,,,
Pears are one of the best fruits for people with diabetes.,0,,,,,,,,
Kiwi is one of the best fruits for people with diabetes.,0,,,,,,,,
Grapefruits is one of the best fruits for people with diabetes.,0,,,,,,,,
Peaches is one of the best fruits for people with diabetes.,0,,,,,,,,
apples — High fiber fruits like apples and pears help to slow a spike in blood sugar.,0,,,,,,,,
Plum is one of the best fruits for people with diabetes.,0,,,,,,,,
Cherries are one of the best fruits for people with diabetes.,0,,,,,,,,
"Blurred vision.
Extreme thirst.
Light-headedness.
Flushed, hot, dry skin.
Restlessness, drowsiness, or difficulty waking up are all symtomps of moderate to severe high blood sugar",0,,,,,,,,
"Try to limit carbohydrates with added sugars or those with refined grains, such as white bread and white rice. Instead,Â eat carbohydrates from fruit, vegetables, whole grains, beans, and low-fat or nonfat milk.",0,,,,,,,,
Monka Sweetener has the following benefit for those who are prediabetic and have high blood sugar. Zero Calories: Indulge in sweetness guilt-free!,2,,,,,,,,
"Monka Sweetener has no calories, perfect for anyone watching their calorie intake.",0,,,,,,,,
"Prevents Obesity: With no added sugars, Monka Sweetener can help prevent obesity and related health issues.",2,,,,,,,,
Reduces Weight Risk: Swap out sugar for Monka Sweetener to reduce your risk of weight gain and maintain a healthy weight.,2,,,,,,,,
"Supports Metabolism: The natural stevia in Monka Sweetener can support your metabolism, helping you stay energized and healthy.",2,,,,,,,,
"Did you know that monk fruit sweetener has been used for centuries in traditional Chinese medicine? Known as 'luo han guo' in Chinese, this fruit has been prized for its sweet taste and health benefits.",0,,,,,,,,
"Monka sweetener is made from monk fruit, offering all the sweetness without the calories. Plus, it's diabetic-friendly and keto-friendly!",0,,,,,,,,
"So go ahead, make the switch to monk fruit sweetener and enjoy sweetness without the guilt!",1,,,,,,,,
Rosemary is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Tumeric is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Curry tree is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Ocimum basilicum is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Pterocarpus marsupium is an herb that keeps your sugar level in control,2,,,,,,,,
Aloe vera is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Ginseng is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Bitter melon is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
Momordica charantia is an herb for diabetes that keeps your sugar levels in control.,2,,,,,,,,
"To help you prevent or correct high blood sugar in the morning, your health care provider may suggest that you:
Avoid carbohydrates at bedtime.
Change your dose of diabetes medicine or insulin.
Switch to a different diabetes medicine.
Change the time when you take your medication or insulin from dinnertime to bedtime.",0,,,,,,,,
"Symptoms of high blood sugar include  feeling very thirsty, peeing a lot,Feeling weak or tired and Blurred vision.",0,,,,,,,,
"Eating a healthy diet with plenty of fruit and vegetables, maintaining a healthy weight, and getting regular physical activity can all help. Other tips include: Keep track of your blood sugar levels to see what makes them go up or down. Eat at regular times, and don't skip meals.",0,,,,,,,,True=0  False=1 and Partially True=2
"Ginseng. As part of oriental medicine, ginseng has been in use for many centuries  as one of the herbs that lower blood sugar levels.",2,,,,,,,,
"Sage. Research has shown that sage reduces blood sugar levels to a significant amount, more so when consumed on an empty stomach.",2,,,,,,,,"The True label  is assigned to content that is medically accurate and supported by scientific evidence. 
While such statements may not be universally accepted in all cultural contexts, they are clinically valid."
"Ginseng. As part of oriental medicine, ginseng has been in use for many centuries  is one of the herbs that lower blood sugar levels.",2,,,,,,,,
Gymnemate Sylvestre or Gurmar  is one of the herbs that lower blood sugar levels.,2,,,,,,,,"The False label applies to statements that lack scientific backing,
 include misleading health advice, or promote potentially harmful practices."
Oregano is one of the herbs that lower blood sugar levels.,2,,,,,,,,
Diabetes can be reversed by some lifestyle changes. ,2,,,,,,,,"This label Partially True / Misleading Information refers to content that blends
 scientifically plausible elements with misinterpretations, exaggerations, or incomplete information."
Diabetes is genetically transmitted.,0,,,,,,,,
"Tinitus and diabetes are connected.  I have had tinitus 
for a year  and diabetes for hmmmm almost a year. Crap. Is it a common thing with it",2,,,,,,,,
I was told not to eat grapefruit with metformin,0,,,,,,,,
